CustomerID,Age,TenureMonths,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,Churn
C0071,56,11,44.7,505.86,Month-to-Month,Fiber,Bank Transfer,1
C0072,56,11,,,One Year,Fiber,Credit Card,0
C0073,56,11,,,One Year,None,Mailed Check,0
C0074,56,,,,One Year,None,Credit Card,0
C0075,56,11,44.7,496.33,Month-to-Month,Fiber,Mailed Check,1
C0076,56,11,44.7,,One Year,DSL,Credit Card,0
C0077,56,11,,,Month-to-Month,None,Credit Card,0
C0078,,11,44.7,543.06,One Year,fiber,Bank Transfer,0
C0079,56,,44.7,-51.53,Month-to-Month,DSL,Mailed Check,1
C0080,,11,44.7,500.25,Two Year,,Bank Transfer,0
C0081,,11,44.7,524.91,Month-to-Month,DSL,Mailed Check,1
C0082,56,11,,,Month-to-Month,Fiber,Bank Transfer,1
C0083,56,11,44.7,510.94,Month-to-Month,None,Bank Transfer,1
C0084,56,,44.7,-18.18,One Year,DSL,Credit Card,0
C0085,56,11,44.7,543.28,Month-to-Month,DSL,Mailed Check,1
C0086,56,11,44.7,475.21,Month-to-Month,DSL,Credit Card,1
C0087,56,11,44.7,517.49,One Year,None,Mailed Check,0
C0088,56,,44.7,,Month-to-Month,None,Mailed Check,0
C0089,56,11,44.7,470.99,month-to-month,Fiber,Mailed Check,1
C0090,56,,,,month-to-month,Fiber,Bank Transfer,0
C0091,unknown,11,44.7,491.82,One Year,DSL,Bank Transfer,0
C0092,56,11,44.7,476.91,Month-to-Month,DSL,Mailed Check,1
C0093,56,11,44.7,535.01,Two Year,Fiber,Credit Card,0
C0094,56,11,44.7,483.33,Month-to-Month,None,Bank Transfer,1
C0095,56,11,44.7,,Month-to-Month,DSL,Credit Card,1
C0096,56,11,44.7,483.31,Month-to-Month,Fiber,Bank Transfer,1
C0097,56,11,44.7,495.77,month-to-month,Fiber,Credit Card,1
C0098,56,11,44.7,496.65,Month-to-Month,Fiber,Credit Card,1
C0099,56,11,,,One Year,fiber,Credit Card,0
C0100,56,11,44.7,459.15,Two Year,Fiber,Bank Transfer,0
C0101,,,44.7,-24.76,Month-to-Month,Fiber,Bank Transfer,0
C0102,56,11,44.7,451.17,Month-to-Month,DSL,Credit Card,1
C0103,56,,44.7,-39.67,,Fiber,Bank Transfer,0
C0104,56,,44.7,16.47,One Year,Fiber,Credit Card,0
C0105,56,11,,,One Year,Fiber,Bank Transfer,0
C0106,56,11,,,Month-to-Month,DSL,Bank Transfer,1
C0107,56,11,44.7,484.05,Month-to-Month,DSL,Bank Transfer,1
C0108,56,11,,,Month-to-Month,Fiber,Mailed Check,1
C0109,,11,44.7,523.65,Month-to-Month,Fiber,Credit Card,1
C0110,56,11,44.7,427.49,Month-to-Month,,Mailed Check,1
C0111,56,11,44.7,504.23,Two Year,Fiber,Bank Transfer,0
C0112,,11,,,Month-to-Month,Fiber,Bank Transfer,1
C0113,56,11,44.7,517.11,Month-to-Month,Fiber,Bank Transfer,1
C0114,56,11,44.7,553.4,One Year,DSL,Credit Card,0
C0115,56,11,44.7,457.77,Two Year,None,Bank Transfer,0
C0116,56,11,44.7,508.37,Month-to-Month,Fiber,Bank Transfer,1
C0117,56,11,44.7,464.14,One Year,None,Credit Card,0
C0118,56,11,,,Month-to-Month,Fiber,Credit Card,1
C0119,,11,44.7,495.06,Month-to-Month,Fiber,Credit Card,1
C0120,56,11,44.7,544.04,Month-to-Month,None,Mailed Check,1
C0121,56,,,,Two Year,Fiber,Bank Transfer,0
C0122,56,11,44.7,,Month-to-Month,DSL,Credit Card,1
C0123,,11,,,Month-to-Month,Fiber,Credit Card,1
C0124,56,11,44.7,470.41,Month-to-Month,None,Bank Transfer,1
C0125,56,11,44.7,453.94,Two Year,Fiber,Mailed Check,0
C0126,56,11,44.7,564.5,Month-to-Month,fiber,Credit Card,1
C0127,56,11,,,Month-to-Month,Fiber,Credit Card,1
C0128,56,11,44.7,,Month-to-Month,fiber,Mailed Check,1
C0129,56,11,44.7,504.69,Month-to-Month,Fiber,Credit Card,1
C0130,56,11,44.7,522.34,One Year,None,Credit Card,0
C0131,56,11,44.7,554.35,One Year,Fiber,,0
C0132,56,11,44.7,547.83,Month-to-Month,fiber,Bank Transfer,1
C0133,56,11,44.7,503.39,Month-to-Month,Fiber,Credit Card,1
C0134,56,11,,,Month-to-Month,Fiber,Credit Card,1
C0135,56,11,44.7,522.16,Month-to-Month,DSL,Credit Card,1
C0136,56,11,44.7,484.46,Month-to-Month,Fiber,Credit Card,1
C0137,56,11,44.7,499.26,Two Year,Fiber,Mailed Check,0
C0138,56,11,,,,fiber,Bank Transfer,0
C0139,56,11,44.7,464.19,,,Mailed Check,0
C0140,56,11,44.7,461.83,month-to-month,Fiber,Mailed Check,1
C0141,56,11,44.7,511.23,One Year,fiber,Bank Transfer,0
C0142,56,11,44.7,492.85,Two Year,DSL,Credit Card,0
C0143,56,11,44.7,448.24,Month-to-Month,Fiber,Bank Transfer,1
C0144,56,11,44.7,,One Year,None,Mailed Check,0
C0145,unknown,11,44.7,490.33,Month-to-Month,DSL,Mailed Check,1
C0146,56,11,44.7,468.75,Month-to-Month,,Credit Card,1
C0147,unknown,11,44.7,458.81,Two Year,Fiber,Bank Transfer,0
C0148,56,11,44.7,,Month-to-Month,DSL,Bank Transfer,1
C0149,56,11,44.7,516.85,Month-to-Month,Fiber,Mailed Check,1
C0150,56,11,44.7,502.86,month-to-month,Fiber,Credit Card,1
C0151,56,11,44.7,503.37,Month-to-Month,Fiber,Bank Transfer,1
C0152,56,11,44.7,524.59,Month-to-Month,,Mailed Check,1
C0153,56,11,44.7,472.93,month-to-month,None,Bank Transfer,1
C0154,56,11,44.7,467.7,One Year,None,Bank Transfer,0
C0155,56,11,44.7,489.79,One Year,DSL,Credit Card,0
C0156,56,11,44.7,490.42,Month-to-Month,Fiber,Credit Card,1
C0157,56,11,44.7,,Month-to-Month,Fiber,Credit Card,1
C0158,56,11,44.7,493.44,month-to-month,Fiber,Mailed Check,1
C0159,56,11,44.7,506.58,One Year,Fiber,Credit Card,0
C0160,56,11,44.7,,One Year,None,Bank Transfer,0
C0161,56,11,44.7,493.03,Month-to-Month,DSL,Bank Transfer,1
C0162,unknown,11,44.7,,Month-to-Month,Fiber,Credit Card,1
C0163,56,11,44.7,482.86,,Fiber,Bank Transfer,0
C0164,56,11,,,Month-to-Month,Fiber,Mailed Check,1
C0165,56,11,44.7,532.09,One Year,Fiber,Mailed Check,0
C0166,56,11,44.7,472.64,Month-to-Month,fiber,Bank Transfer,1
C0167,56,11,44.7,456.01,One Year,DSL,Bank Transfer,0
C0168,56,11,44.7,,month-to-month,None,Credit Card,1
C0169,,11,44.7,544.55,One Year,DSL,Mailed Check,0
C0170,56,11,44.7,483.21,Month-to-Month,Fiber,Credit Card,1
C0171,56,,44.7,-6.27,One Year,Fiber,Mailed Check,0
C0172,56,11,,,Two Year,fiber,Credit Card,0
C0173,56,11,44.7,555.0,Month-to-Month,None,Mailed Check,1
C0174,56,11,44.7,469.67,month-to-month,Fiber,Mailed Check,1
C0175,56,11,44.7,494.16,One Year,DSL,Mailed Check,0
C0176,,11,44.7,512.84,month-to-month,DSL,Credit Card,1
C0177,56,11,44.7,515.37,One Year,DSL,Bank Transfer,0
C0178,56,11,44.7,503.99,Month-to-Month,fiber,Bank Transfer,1
C0179,56,11,44.7,465.87,Month-to-Month,DSL,Mailed Check,1
C0180,56,,44.7,-13.29,Month-to-Month,DSL,Credit Card,0
C0181,56,11,44.7,477.32,month-to-month,Fiber,,1
C0182,56,11,44.7,497.62,Two Year,Fiber,Mailed Check,0
C0183,56,,44.7,9.34,One Year,Fiber,Credit Card,0
C0184,56,11,,,Month-to-Month,Fiber,Mailed Check,1
C0185,56,,,,Month-to-Month,None,Bank Transfer,0
C0186,56,11,44.7,460.72,Two Year,None,Bank Transfer,0
C0187,unknown,11,44.7,503.64,Month-to-Month,Fiber,Credit Card,1
C0188,56,11,44.7,466.27,Month-to-Month,None,Bank Transfer,1
C0189,56,11,44.7,472.14,One Year,Fiber,Mailed Check,0
C0190,unknown,11,,,Month-to-Month,Fiber,Bank Transfer,1
C0191,unknown,11,44.7,517.22,Month-to-Month,Fiber,Bank Transfer,1
C0192,56,11,44.7,487.0,Month-to-Month,Fiber,Bank Transfer,1
C0193,,11,44.7,498.37,Month-to-Month,Fiber,Mailed Check,1
C0194,56,11,44.7,477.32,,DSL,Credit Card,0
C0195,56,11,44.7,524.95,Month-to-Month,Fiber,Mailed Check,1
C0196,56,,,,Month-to-Month,,Bank Transfer,0
C0197,56,,44.7,17.9,Month-to-Month,Fiber,Credit Card,0
C0198,,11,44.7,496.86,Two Year,Fiber,Credit Card,0
C0199,56,11,,,Month-to-Month,Fiber,Bank Transfer,1
C0200,,11,44.7,508.3,One Year,DSL,Mailed Check,0
C0201,,11,44.7,461.3,Month-to-Month,Fiber,Credit Card,1
C0202,,11,44.7,512.74,Month-to-Month,None,Mailed Check,1
C0203,56,11,44.7,523.04,Month-to-Month,DSL,Credit Card,1
C0204,56,11,,,Two Year,DSL,Bank Transfer,0
C0205,56,11,44.7,507.82,month-to-month,DSL,,1
C0206,56,11,,,Month-to-Month,Fiber,Mailed Check,1
C0207,,11,44.7,,One Year,Fiber,Credit Card,0
C0208,unknown,11,,,month-to-month,Fiber,Bank Transfer,1
C0209,56,,44.7,-13.8,Month-to-Month,DSL,Credit Card,0
C0210,56,11,44.7,489.71,Two Year,Fiber,Bank Transfer,0
C0211,56,11,44.7,,Month-to-Month,Fiber,Mailed Check,1
C0212,56,11,,,month-to-month,,Mailed Check,1
C0213,unknown,11,44.7,475.56,Two Year,Fiber,Credit Card,0
C0214,56,11,44.7,493.71,month-to-month,None,Mailed Check,1
C0215,56,11,44.7,511.82,One Year,None,Bank Transfer,0
C0216,56,11,44.7,482.93,Month-to-Month,Fiber,Credit Card,1
C0217,56,11,,,month-to-month,Fiber,Bank Transfer,1
C0218,56,11,44.7,505.78,Month-to-Month,Fiber,Bank Transfer,1
C0219,56,11,44.7,,Month-to-Month,DSL,Bank Transfer,1
C0220,56,,44.7,,Two Year,DSL,Bank Transfer,0
C0221,56,11,44.7,445.63,Two Year,None,Bank Transfer,0
C0222,56,11,44.7,514.4,month-to-month,fiber,Credit Card,1
C0223,56,,44.7,18.37,Month-to-Month,DSL,Mailed Check,0
C0224,56,11,44.7,461.2,Two Year,Fiber,Bank Transfer,0
C0225,56,11,44.7,,Two Year,Fiber,Credit Card,0
C0226,56,11,44.7,484.38,Month-to-Month,None,Mailed Check,1
C0227,unknown,11,44.7,437.34,Month-to-Month,Fiber,Mailed Check,1
C0228,56,,44.7,19.22,Month-to-Month,Fiber,Mailed Check,0
C0229,,11,44.7,531.75,Month-to-Month,None,Credit Card,1
C0230,56,11,44.7,,,Fiber,Credit Card,0
C0231,56,11,,,One Year,fiber,Bank Transfer,0
C0232,56,11,,,Two Year,DSL,Credit Card,0
C0233,56,11,44.7,510.59,,Fiber,Mailed Check,0
C0234,,11,44.7,499.18,Month-to-Month,fiber,Credit Card,1
C0235,56,11,,,Two Year,Fiber,Credit Card,0
C0236,56,11,44.7,523.05,Month-to-Month,Fiber,Bank Transfer,1
C0237,56,11,44.7,544.76,month-to-month,Fiber,Credit Card,1
C0238,56,,44.7,-14.76,Month-to-Month,Fiber,Mailed Check,0
C0239,56,11,44.7,512.81,month-to-month,DSL,Bank Transfer,1
C0240,unknown,11,44.7,496.47,Month-to-Month,Fiber,Credit Card,1
C0241,56,11,44.7,447.58,Month-to-Month,Fiber,Credit Card,0
C0242,56,11,,,Two Year,Fiber,Bank Transfer,0
C0243,,11,,,Month-to-Month,None,Credit Card,1
C0244,56,11,44.7,495.94,One Year,None,Bank Transfer,0
C0245,unknown,11,44.7,512.45,Month-to-Month,Fiber,Bank Transfer,1
C0246,56,11,44.7,,Two Year,Fiber,Mailed Check,0
C0247,56,11,44.7,539.62,Month-to-Month,Fiber,Mailed Check,1
C0248,56,,44.7,-31.77,Month-to-Month,Fiber,Mailed Check,0
C0249,unknown,11,44.7,536.15,Month-to-Month,None,Mailed Check,1
C0250,56,11,,,Month-to-Month,None,Credit Card,1
C0251,56,11,44.7,525.09,Month-to-Month,Fiber,Credit Card,1
C0252,56,11,44.7,524.03,Month-to-Month,Fiber,Credit Card,1
C0253,56,11,,,Month-to-Month,Fiber,Mailed Check,1
C0254,56,11,44.7,528.63,Month-to-Month,DSL,,1
C0255,56,11,44.7,542.25,One Year,Fiber,Mailed Check,0
C0256,56,11,44.7,551.31,month-to-month,,Credit Card,1
C0257,56,11,44.7,475.77,Month-to-Month,None,Mailed Check,1
C0258,,11,44.7,538.32,One Year,Fiber,Bank Transfer,0
C0259,56,11,44.7,517.32,One Year,DSL,Credit Card,0
C0260,56,11,44.7,493.01,Month-to-Month,fiber,Bank Transfer,1
C0261,56,11,,,Two Year,DSL,Credit Card,0
C0262,56,11,44.7,508.44,Month-to-Month,Fiber,Bank Transfer,1
C0263,56,11,44.7,442.06,One Year,Fiber,Credit Card,0
C0264,56,11,44.7,507.86,Month-to-Month,None,Bank Transfer,0
C0265,56,11,44.7,439.53,One Year,DSL,Bank Transfer,0
C0266,56,11,44.7,,One Year,DSL,Mailed Check,0
C0267,56,11,44.7,,Month-to-Month,fiber,Bank Transfer,1
C0268,56,11,44.7,525.09,Month-to-Month,fiber,Bank Transfer,1
C0269,56,11,44.7,,,fiber,Mailed Check,0
C0270,56,11,44.7,457.78,Month-to-Month,Fiber,Mailed Check,1
C0271,56,11,44.7,510.38,One Year,DSL,Credit Card,0
C0272,56,11,44.7,510.59,month-to-month,None,Bank Transfer,1
C0273,56,11,,,Two Year,None,Credit Card,0
C0274,56,11,44.7,467.57,One Year,DSL,Credit Card,0
C0275,56,11,44.7,500.36,Two Year,Fiber,Bank Transfer,0
C0276,56,11,44.7,493.94,month-to-month,None,Mailed Check,1
C0277,56,,44.7,-5.47,Month-to-Month,None,Credit Card,0
C0278,56,11,44.7,,Month-to-Month,Fiber,Mailed Check,1
C0279,56,11,44.7,477.16,Month-to-Month,DSL,Mailed Check,1
C0280,56,11,44.7,485.52,,Fiber,Mailed Check,0
C0281,,11,44.7,,One Year,Fiber,Credit Card,0
C0282,56,11,44.7,469.3,Month-to-Month,Fiber,Mailed Check,1
C0283,56,11,44.7,439.8,month-to-month,Fiber,Credit Card,1
C0284,56,11,44.7,484.77,Month-to-Month,DSL,Bank Transfer,1
C0285,56,11,,,Month-to-Month,DSL,Credit Card,1
C0286,56,11,44.7,489.85,One Year,DSL,Credit Card,0
C0287,56,11,44.7,506.08,Month-to-Month,None,Mailed Check,1
C0288,unknown,11,44.7,455.6,month-to-month,Fiber,Bank Transfer,1
C0289,56,11,44.7,460.44,Month-to-Month,Fiber,Credit Card,1
C0290,,11,44.7,468.6,Two Year,fiber,Credit Card,0
C0291,56,11,44.7,452.82,One Year,Fiber,Bank Transfer,0
C0292,56,11,44.7,,Month-to-Month,,Credit Card,1
C0293,56,11,44.7,480.32,,None,Mailed Check,0
C0294,56,11,44.7,501.66,One Year,DSL,Credit Card,0
C0295,56,11,44.7,434.16,Month-to-Month,,Credit Card,1
C0296,56,11,44.7,487.2,Month-to-Month,Fiber,Credit Card,1
C0297,56,11,44.7,498.79,month-to-month,Fiber,Bank Transfer,1
C0298,unknown,11,44.7,459.81,Month-to-Month,DSL,Credit Card,1
C0299,56,11,44.7,448.91,Month-to-Month,Fiber,Credit Card,1
C0300,56,11,44.7,515.14,Month-to-Month,fiber,,1
C0301,56,,44.7,,Month-to-Month,Fiber,Bank Transfer,0
C0302,56,11,44.7,519.16,Two Year,DSL,Credit Card,0
C0303,56,11,,,Month-to-Month,DSL,Bank Transfer,1
C0304,56,11,44.7,475.21,Month-to-Month,DSL,Mailed Check,1
C0305,56,11,44.7,507.96,Month-to-Month,Fiber,Credit Card,1
C0306,unknown,11,44.7,540.93,Month-to-Month,Fiber,Credit Card,1
C0307,56,11,44.7,479.28,month-to-month,None,Mailed Check,1
C0308,56,11,44.7,515.88,Month-to-Month,Fiber,Bank Transfer,1
C0309,56,11,44.7,456.17,,None,Bank Transfer,0
C0310,56,11,,,Month-to-Month,DSL,Credit Card,1
C0311,56,11,44.7,476.72,Month-to-Month,None,Credit Card,1
C0312,56,11,44.7,529.11,month-to-month,None,Bank Transfer,1
C0313,56,11,,,Month-to-Month,Fiber,Credit Card,1
C0314,56,11,44.7,489.84,Two Year,DSL,Bank Transfer,0
C0315,56,11,44.7,475.92,,fiber,Bank Transfer,0
C0316,56,11,44.7,432.77,Month-to-Month,Fiber,Credit Card,1
C0317,56,11,44.7,499.56,Month-to-Month,,Mailed Check,1
C0318,,11,44.7,454.05,Two Year,DSL,Mailed Check,0
C0319,56,11,,,Month-to-Month,Fiber,Mailed Check,1
C0320,56,11,44.7,500.57,Month-to-Month,Fiber,Credit Card,1
C0321,56,11,44.7,446.2,Month-to-Month,,Credit Card,1
C0322,56,11,44.7,498.2,Month-to-Month,Fiber,Bank Transfer,1
C0323,,11,44.7,458.78,Two Year,fiber,Credit Card,0
C0324,56,,,,Month-to-Month,fiber,,0
C0325,56,11,44.7,504.96,Month-to-Month,Fiber,Credit Card,1
C0326,56,11,44.7,478.79,One Year,Fiber,Bank Transfer,0
C0327,56,11,44.7,493.72,Month-to-Month,None,Credit Card,1
C0328,56,11,44.7,505.05,Month-to-Month,Fiber,Bank Transfer,1
C0329,56,11,44.7,475.73,Two Year,None,Credit Card,0
C0330,56,11,44.7,,Month-to-Month,Fiber,Bank Transfer,1
C0331,56,11,44.7,527.55,Two Year,DSL,Credit Card,0
C0332,56,11,44.7,475.76,month-to-month,None,Mailed Check,1
C0333,56,,44.7,14.52,Month-to-Month,Fiber,Credit Card,0
C0334,56,,44.7,12.26,One Year,Fiber,Mailed Check,0
C0335,56,11,44.7,482.47,Month-to-Month,Fiber,Mailed Check,1
C0336,56,11,44.7,507.74,Month-to-Month,Fiber,Credit Card,1
C0337,unknown,11,44.7,528.57,month-to-month,DSL,Mailed Check,1
C0338,56,11,44.7,429.09,month-to-month,None,Credit Card,1
C0339,56,11,44.7,,Month-to-Month,Fiber,,1
C0340,56,11,44.7,474.16,One Year,DSL,Bank Transfer,0
C0341,56,11,44.7,472.01,month-to-month,DSL,Credit Card,1
C0342,56,11,44.7,469.71,,Fiber,Credit Card,0
C0343,56,11,,,One Year,Fiber,Credit Card,0
C0344,56,11,44.7,473.49,Month-to-Month,fiber,,1
C0345,56,11,44.7,505.43,Month-to-Month,None,Credit Card,1
C0346,,11,44.7,475.91,,DSL,Bank Transfer,0
C0347,,11,44.7,533.35,Month-to-Month,DSL,Bank Transfer,1
C0348,56,,44.7,4.24,One Year,Fiber,Mailed Check,0
C0349,56,11,44.7,427.78,Month-to-Month,DSL,Credit Card,1
C0350,,11,,,Month-to-Month,DSL,Bank Transfer,1
C0351,56,11,44.7,472.18,Month-to-Month,DSL,Bank Transfer,1
C0352,56,11,,,,Fiber,Mailed Check,0
C0353,56,11,44.7,491.76,Month-to-Month,Fiber,Credit Card,1
C0354,56,11,44.7,483.08,One Year,Fiber,Credit Card,0
C0355,,11,,,Month-to-Month,,Credit Card,1
C0356,,,44.7,8.62,Month-to-Month,Fiber,Mailed Check,0
C0357,,11,44.7,499.18,Month-to-Month,DSL,Credit Card,1
C0358,56,11,44.7,464.9,One Year,Fiber,Bank Transfer,0
C0359,56,11,44.7,528.34,Month-to-Month,Fiber,Credit Card,1
C0360,56,,44.7,-14.61,Month-to-Month,None,Mailed Check,0
C0361,56,11,44.7,501.45,Month-to-Month,DSL,Mailed Check,1
C0362,56,11,44.7,478.31,Month-to-Month,DSL,Bank Transfer,1
C0363,56,11,44.7,513.99,,Fiber,Credit Card,0
C0364,56,11,44.7,495.12,month-to-month,None,Credit Card,1
C0365,56,11,44.7,,Month-to-Month,Fiber,Credit Card,1
C0366,56,11,44.7,,One Year,Fiber,Credit Card,0
C0367,56,,44.7,46.02,month-to-month,DSL,Bank Transfer,0
C0368,56,11,44.7,495.84,Month-to-Month,Fiber,Bank Transfer,1
C0369,56,11,44.7,506.86,Two Year,Fiber,Mailed Check,0
C0370,56,,44.7,5.88,month-to-month,DSL,Credit Card,0
C0371,56,11,44.7,456.53,Month-to-Month,DSL,Bank Transfer,1
C0372,56,11,44.7,526.11,Month-to-Month,None,Bank Transfer,1
C0373,56,11,44.7,501.64,,Fiber,Bank Transfer,0
C0374,56,11,44.7,507.7,One Year,Fiber,Credit Card,0
C0375,56,11,44.7,521.44,Month-to-Month,Fiber,Bank Transfer,1
C0376,56,11,44.7,522.85,Month-to-Month,,Bank Transfer,1
C0377,56,11,44.7,459.05,Month-to-Month,DSL,Mailed Check,1
C0378,56,11,44.7,,One Year,None,Mailed Check,0
C0379,56,11,44.7,453.32,Two Year,Fiber,Credit Card,0
C0380,56,11,,,,DSL,Credit Card,0
C0381,56,11,,,Month-to-Month,Fiber,Bank Transfer,1
C0382,56,,44.7,19.21,One Year,DSL,Bank Transfer,0
C0383,,11,44.7,,One Year,fiber,Credit Card,0
C0384,56,11,44.7,,Month-to-Month,,Mailed Check,1
C0385,56,11,44.7,485.98,Month-to-Month,DSL,,1
C0386,unknown,11,44.7,494.26,,DSL,Mailed Check,0
C0387,56,11,44.7,401.97,month-to-month,fiber,Credit Card,1
C0388,56,,44.7,36.18,Month-to-Month,DSL,Mailed Check,0
C0389,56,11,44.7,515.02,One Year,Fiber,Mailed Check,0
C0390,56,11,44.7,463.23,Month-to-Month,DSL,Bank Transfer,1
C0391,56,11,44.7,544.12,One Year,Fiber,Bank Transfer,0
C0392,56,11,44.7,525.77,One Year,DSL,Mailed Check,0
C0393,56,11,,,One Year,DSL,Bank Transfer,0
C0394,56,11,44.7,458.51,,DSL,Credit Card,0
C0395,,11,44.7,466.62,One Year,Fiber,Bank Transfer,0
C0396,56,11,44.7,435.16,Month-to-Month,Fiber,Bank Transfer,1
C0397,56,11,44.7,498.58,Two Year,DSL,Credit Card,0
C0398,56,11,44.7,543.08,Month-to-Month,None,Mailed Check,1
C0399,56,11,44.7,515.11,Month-to-Month,DSL,Bank Transfer,1
C0400,56,11,44.7,442.96,Month-to-Month,Fiber,Bank Transfer,1
C0401,56,11,44.7,495.39,Month-to-Month,fiber,Credit Card,1
C0402,56,11,44.7,461.44,Two Year,fiber,Bank Transfer,0
C0403,56,11,44.7,517.27,Month-to-Month,Fiber,Credit Card,1
C0404,56,11,44.7,529.24,Two Year,Fiber,Credit Card,0
C0405,56,11,44.7,548.98,One Year,None,Bank Transfer,0
C0406,56,11,44.7,516.0,Month-to-Month,None,Bank Transfer,1
C0407,56,11,,,Two Year,,Bank Transfer,0
C0408,unknown,11,44.7,488.02,Month-to-Month,fiber,Credit Card,1
C0409,56,11,44.7,494.5,Month-to-Month,DSL,Bank Transfer,1
C0410,56,11,44.7,537.19,One Year,DSL,Credit Card,0
C0411,unknown,11,44.7,,Month-to-Month,Fiber,,1
